Ano,DimUniversidade_idDimUniversidade,DimCurso_idDimCurso,DimArea_idDimArea,QuantidadeVagas,"Inscritos no 1.º ano, pela 1.ª vez, através de todos os regimes","Inscritos no 1.º ano, pela 1.ª vez, através do regime geral de acesso",Inscritos pela 1.ª vez através do regime geral de acesso,"Taxa de ocupação
[Inscritos pela 1.ª vez através do regime geral de acesso / Vagas]",Inscritos pela 1.ª vez através de todos os regimes,Distrito,Concelho
2021,2710,9554,9,33,15,6,6.0,0.18181818181818182,15.0,Lisboa,Oeiras
2021,2710,L114,7,39,11,5,5.0,0.1282051282051282,11.0,Lisboa,Oeiras
2021,2710,L197,4,40,8,2,2.0,0.05,8.0,Lisboa,Oeiras
2021,2710,L200,10,39,39,7,7.0,0.1794871794871795,57.0,Lisboa,Oeiras
2021,2750,8317,10,20,2,0,0.0,0,2.0,Porto,PORTO
2021,2750,9020,3,30,33,26,26.0,0.8666666666666667,33.0,Porto,PORTO
2021,2750,9023,3,40,37,36,38.0,0.95,39.0,Porto,PORTO
2021,2750,9045,4,30,34,26,26.0,0.8666666666666667,35.0,Porto,PORTO
2021,2750,9066,3,50,62,48,49.0,0.98,64.0,Porto,PORTO
2021,2750,9089,7,20,3,0,0.0,0,8.0,Porto,PORTO
2021,2750,9119,7,40,23,19,19.0,0.475,25.0,Porto,PORTO
2021,2750,9219,3,60,67,58,59.0,0.9833333333333333,72.0,Porto,PORTO
2021,2750,9494,9,65,70,61,61.0,0.9384615384615385,94.0,Porto,PORTO
2021,2750,9507,7,30,10,7,7.0,0.23333333333333334,12.0,Porto,PORTO
2021,2750,9548,9,94,128,92,112.0,1.1914893617021276,324.0,Porto,PORTO
2021,2750,9554,9,30,27,22,22.0,0.7333333333333333,27.0,Porto,PORTO
2021,2800,8042,4,40,25,19,29.0,0.725,39.0,Lisboa,LISBOA
2021,2800,8158,2,40,46,40,40.0,1,47.0,Lisboa,LISBOA
2021,2800,8283,10,30,30,19,23.0,0.7666666666666667,36.0,Lisboa,LISBOA
2021,2800,8455,2,25,17,16,17.0,0.68,23.0,Lisboa,LISBOA
2021,2800,9011,5,30,27,27,30.0,1,34.0,Lisboa,LISBOA
2021,2800,9015,5,20,21,20,20.0,1,22.0,Lisboa,LISBOA
2021,2800,9016,7,25,24,23,25.0,1,32.0,Lisboa,LISBOA
2021,2800,9020,3,45,45,39,44.0,0.9777777777777777,65.0,Lisboa,LISBOA
2021,2800,9023,3,0,51,50,52.0,-,56.0,Lisboa,LISBOA
2021,2800,9024,3,50,0,0,0.0,0,0.0,Lisboa,LISBOA
2021,2800,9049,2,75,86,67,71.0,0.9466666666666667,94.0,Lisboa,LISBOA
2021,2800,9051,4,140,135,120,139.0,0.9928571428571429,185.0,Lisboa,LISBOA
2021,2800,9065,4,65,58,33,41.0,0.6307692307692307,79.0,Lisboa,LISBOA
2021,2800,9066,3,20,30,29,29.0,1.45,30.0,Lisboa,LISBOA
2021,2800,9070,2,35,32,29,35.0,1,46.0,Lisboa,LISBOA
2021,2800,9078,4,190,215,168,182.0,0.9578947368421052,251.0,Lisboa,LISBOA
2021,2800,9081,3,40,10,9,9.0,0.225,12.0,Lisboa,LISBOA
2021,2800,9089,7,25,10,6,6.0,0.24,14.0,Lisboa,LISBOA
2021,2800,9099,7,20,6,5,5.0,0.25,8.0,Lisboa,LISBOA
2021,2800,9104,7,15,11,4,4.0,0.26666666666666666,18.0,Lisboa,LISBOA
2021,2800,9109,7,30,11,3,3.0,0.1,12.0,Lisboa,LISBOA
2021,2800,9119,7,75,64,37,39.0,0.52,82.0,Lisboa,LISBOA
2021,2800,9136,3,20,16,16,20.0,1,25.0,Lisboa,LISBOA
2021,2800,9152,4,150,156,117,131.0,0.8733333333333333,181.0,Lisboa,LISBOA
2021,2800,9157,4,100,88,64,75.0,0.75,122.0,Lisboa,LISBOA
2021,2800,9186,6,30,18,10,11.0,0.36666666666666664,20.0,Lisboa,LISBOA
2021,2800,9219,3,160,154,153,162.0,1.0125,197.0,Lisboa,LISBOA
2021,2800,9238,9,70,81,67,70.0,1,89.0,Lisboa,LISBOA
2021,2800,9240,3,15,10,7,9.0,0.6,12.0,Lisboa,LISBOA
2021,2800,9254,10,65,41,38,41.0,0.6307692307692307,47.0,Lisboa,LISBOA
2021,2800,9257,7,60,53,41,41.0,0.6833333333333333,58.0,Lisboa,LISBOA
2021,2800,9455,7,20,9,5,5.0,0.25,10.0,Lisboa,LISBOA
2021,2800,9494,9,30,31,30,30.0,1,40.0,Lisboa,LISBOA
2021,2800,9554,9,40,47,38,40.0,1,61.0,Lisboa,LISBOA
2021,2800,9645,2,20,24,18,19.0,0.95,28.0,Lisboa,LISBOA
2021,2800,9662,3,40,42,38,40.0,1,44.0,Lisboa,LISBOA
2021,2800,9736,10,175,184,159,176.0,1.0057142857142858,209.0,Lisboa,LISBOA
2021,2800,9817,2,15,20,15,15.0,1,20.0,Lisboa,LISBOA
2021,2800,9847,8,100,93,92,100.0,1,124.0,Lisboa,LISBOA
2021,2800,L119,6,30,11,5,6.0,0.2,12.0,Lisboa,LISBOA
2021,2800,L144,1,20,20,16,16.0,0.8,21.0,Lisboa,LISBOA
2021,2800,L165,2,30,31,25,28.0,0.9333333333333333,40.0,Lisboa,LISBOA
2021,2800,L230,2,30,37,27,27.0,0.9,37.0,Lisboa,LISBOA
2021,3011,8005,4,20,23,18,18.0,0.9,24.0,Aveiro,AVEIRO
2021,3011,9056,4,101,115,96,96.0,0.9504950495049505,123.0,Aveiro,AVEIRO
2021,3011,9140,4,24,28,25,25.0,1.0416666666666667,31.0,Aveiro,AVEIRO
2021,3011,9205,4,33,37,32,32.0,0.9696969696969697,41.0,Aveiro,AVEIRO
2021,3011,9869,4,20,38,19,19.0,0.95,39.0,Aveiro,AVEIRO
2021,3011,9888,4,25,27,23,23.0,0.92,29.0,Aveiro,AVEIRO
2021,3012,8016,6,26,31,23,25.0,0.9615384615384616,36.0,Aveiro,ÁGUEDA
2021,3012,8405,4,29,30,21,21.0,0.7241379310344828,30.0,Aveiro,ÁGUEDA
2021,3012,9235,4,27,29,22,22.0,0.8148148148148148,29.0,Aveiro,ÁGUEDA
2021,3012,L021,4,35,51,34,34.0,0.9714285714285714,55.0,Aveiro,ÁGUEDA
2021,3012,L140,4,23,26,18,18.0,0.782608695652174,26.0,Aveiro,ÁGUEDA
2021,3012,L194,7,30,40,27,27.0,0.9,40.0,Aveiro,ÁGUEDA
2021,3013,9500,9,90,117,86,86.0,0.9555555555555556,119.0,Aveiro,AVEIRO
2021,3013,9504,9,50,60,50,50.0,1,63.0,Aveiro,AVEIRO
2021,3013,9890,9,28,29,26,26.0,0.9285714285714286,30.0,Aveiro,AVEIRO
2021,3013,L066,9,29,33,28,28.0,0.9655172413793104,34.0,Aveiro,AVEIRO
2021,3014,L135,7,25,24,20,21.0,0.84,25.0,Aveiro,OLIVEIRA DE AZEMÉIS
